cloneId	symbol	pDNA.p0.10025	pDNA.p0.10025_10056	pDNA.p0.110625	pDNA.p0.110709	pDNA.p0.110709_10056	pDNA.p0.54_10051	HPAFII_PANCREAS.p5.A	HPAFII_PANCREAS.p5.B	HPAFII_PANCREAS.p5.C	HPAFII_PANCREAS.p5.D
TRCN0000001097	DNM1L	11	12	12	12	11	13	1	1	1	1
TRCN0000001117	WT1	17	18	23	21	19	18	11	15	9	2
TRCN0000001131	DDX5	15	15	15	15	14	14	15	29	16	17
TRCN0000001145	SLU7	18	17	21	17	16	14	1	3	1	6
TRCN0000001168	PPARGC1A	14	11	19	14	13	16	4	2	3	6
TRCN0000001264	INTS6	14	12	15	14	13	14	4	7	3	4
TRCN0000001362	SIK1	25	27	21	31	27	28	115	64	62	35
TRCN0000001395	RPS6KA3	23	26	12	23	21	26	9	6	12	3
TRCN0000001411	ERBB4	12	13	13	13	15	14	36	39	17	45
TRCN0000001452	CAMK1G	17	22	19	16	17	14	91	14	17	5
TRCN0000001485	PKN1	18	20	21	22	19	18	6	1	1	1
TRCN0000001616	AKT3	18	21	28	22	20	19	7	3	33	4
TRCN0000004787	RNF5	19	20	22	20	19	17	10	27	8	18
TRCN0000004817	HDAC1	13	13	19	13	15	15	28	7	26	41
TRCN0000004828	HDAC3	4	4	4	5	4	5	1	1	1	1
TRCN0000004854	HDAC9	11	12	9	13	11	12	31	23	26	32
TRCN0000004999	RPL6	13	13	16	12	12	12	1	2	4	1
TRCN0000005004	PTPN11	10	12	10	13	12	11	16	13	9	10
TRCN0000005077	TBX3	22	22	15	22	21	20	8	33	5	17
TRCN0000005247	MYO7A	20	19	18	20	20	20	34	13	26	31
TRCN0000005282	ORM1	11	11	17	9	10	11	4	7	43	2
TRCN0000005361	TRRAP	7	3	24	18	3	14	2	1	1	1
TRCN0000005424	C18orf8	5	5	3	4	4	4	5	4	8	8
TRCN0000005533	COBL	17	17	17	15	16	20	11	9	29	11
TRCN0000005559	PPAPDC3	9	8	8	9	9	10	10	5	10	4
TRCN0000005670	TNFAIP8L2	12	12	11	13	15	16	4	14	7	13
TRCN0000005676	SCNM1	21	32	19	26	26	19	12	11	6	7
TRCN0000005689	ZNF687	4	4	6	4	5	4	2	3	1	1
TRCN0000005762	TGFBRAP1	9	10	13	9	8	8	7	8	9	6
TRCN0000005773	FHL2	15	15	16	15	13	16	1	2	1	3
TRCN0000005779	LRRN2	11	10	15	13	12	12	7	3	1	10
TRCN0000005917	CASC1	20	21	17	21	22	24	13	10	17	28
TRCN0000220603	RASAL3	9	9	13	11	11	12	12	30	80	42
TRCN0000220649	CHKA	10	10	9	10	10	9	14	9	21	16
TRCN0000006214	COL4A3BP	15	16	17	17	15	17	41	30	53	55
TRCN0000006219	CDK5R1	16	16	16	17	17	16	9	6	10	3
TRCN0000006250	PKN2	3	3	6	3	3	3	1	1	1	2
TRCN0000006265	PDK4	47	43	32	40	44	51	23	13	74	42
TRCN0000006326	ICK	24	23	15	26	24	25	17	17	22	33
TRCN0000006416	EPHA5	30	25	22	31	28	31	15	15	7	8
TRCN0000006511	TP73	17	17	12	17	17	18	2	3	3	3
TRCN0000006591	HTATSF1	20	21	17	22	22	21	17	54	38	32
TRCN0000006634	SRSF9	20	21	16	10	18	15	31	55	30	18
TRCN0000006712	KLK3	10	10	9	10	10	9	7	7	5	11
TRCN0000006775	F2RL2	10	9	12	11	10	11	2	1	2	5
TRCN0000006786	F9	9	9	9	9	9	9	2	7	14	20
TRCN0000006806	FAP	12	11	10	13	12	14	35	24	40	14
TRCN0000006827	GZMM	5	7	8	4	8	6	2	3	1	8
TRCN0000006845	PPP1R12B	35	37	39	38	37	38	2	1	5	9
TRCN0000006860	PPP1R3D	25	24	26	28	23	26	20	18	18	14
TRCN0000006870	PPP2R3A	17	18	14	18	17	16	13	27	11	9
TRCN0000006915	CTDNEP1	8	7	10	9	7	7	2	10	5	6
TRCN0000006959	PPP4R2	6	6	5	5	5	6	1	2	1	1
TRCN0000007038	LRRK1	14	13	19	14	14	14	11	2	4	1
TRCN0000007047	STRADA	21	20	25	23	21	22	7	1	12	3
TRCN0000007180	FAU	14	14	22	13	18	16	2	1	1	6
TRCN0000007248	USP13	6	5	4	6	6	6	6	6	1	5
TRCN0000007259	UBE2M	7	7	12	8	9	9	2	1	1	6
TRCN0000007279	USP2	15	16	16	16	16	16	13	10	35	8
TRCN0000007392	ATG12	23	23	26	21	22	27	35	75	71	67
TRCN0000007462	STAT2	3	3	5	4	3	3	16	4	19	12
TRCN0000007550	NEDD4	13	16	17	16	16	13	4	1	15	9
TRCN0000007640	SLC38A3	12	13	9	12	12	15	148	70	101	142
TRCN0000007662	TCEB2	11	10	13	4	13	14	2	2	4	17
TRCN0000007669	UBL4A	23	24	30	28	28	28	24	17	21	6
TRCN0000007706	CHFR	25	26	44	32	32	29	6	5	4	7
TRCN0000011161	LOC220594	46	47	45	46	42	49	117	210	121	123
TRCN0000007804	RNF166	8	7	9	7	7	8	5	22	4	3
TRCN0000007831	BNIP3	15	13	15	18	13	17	17	21	10	25
TRCN0000007854	ERI1	21	21	18	20	21	22	8	25	12	8
TRCN0000007927	POLD1	16	18	27	19	18	19	3	5	15	2
TRCN0000007978	EPS15	6	6	9	6	6	5	1	1	1	1
TRCN0000007983	CLTC	7	6	4	7	6	7	2	1	1	1
TRCN0000008039	ADORA1	11	9	15	17	9	20	10	5	6	13
TRCN0000008041	ADORA2A	22	22	25	27	23	25	63	164	198	44
TRCN0000008051	ADRA1A	10	12	15	11	12	13	2	1	2	2
TRCN0000008173	CASR	10	9	12	8	8	10	7	29	8	6
TRCN0000008193	CCR3	20	20	17	18	19	19	18	30	34	15
TRCN0000008213	CCR7	25	24	33	26	27	26	7	8	7	11
TRCN0000008262	GPR174	26	26	26	25	25	29	44	27	13	12
TRCN0000008275	GPR157	9	10	8	9	10	10	18	14	18	4
TRCN0000008336	FZD5	28	22	42	32	25	28	8	5	5	4
TRCN0000008348	FZD8	12	11	10	12	13	12	1	1	3	3
TRCN0000008379	GALR2	12	10	19	12	12	11	4	11	2	5
TRCN0000008388	GHRHR	13	14	15	14	13	12	7	1	4	1
TRCN0000008585	GRPEL2	18	19	16	22	22	22	8	5	3	5
TRCN0000008615	RPL7	6	6	6	6	5	6	1	1	1	1
TRCN0000008761	HSPA1B	23	22	21	23	22	20	29	13	19	6
TRCN0000008766	HSPA14	10	4	19	19	5	17	2	3	3	6
TRCN0000008809	GNG7	33	34	40	36	36	37	11	6	15	5
TRCN0000008815	GNRHR	14	14	13	13	14	17	40	47	82	53
TRCN0000011483	GPR160	11	10	11	13	12	11	1	1	1	1
TRCN0000011525	GPR111	8	8	5	8	7	9	1	4	2	5
TRCN0000011558	GPR126	20	21	28	20	21	19	39	7	9	13
TRCN0000008855	LPAR4	11	10	13	12	12	11	4	14	8	8
TRCN0000008874	GPER	31	29	27	25	26	30	71	32	23	29
TRCN0000011579	FFAR2	8	7	10	8	8	8	1	1	7	6
TRCN0000011584	GPR44	13	14	8	15	14	13	15	13	9	7
TRCN0000011642	GPR64	21	21	23	22	22	23	22	21	35	35
TRCN0000011652	GPR68	7	7	11	7	7	7	2	3	3	3
TRCN0000009082	HTR1A	4	4	4	3	3	4	1	1	1	1
TRCN0000009091	HTR1F	16	18	19	15	15	18	12	1	8	10
TRCN0000009101	HTR2C	11	14	16	12	14	13	26	13	33	14
TRCN0000011740	MAS1L	30	31	23	25	26	26	25	39	33	36
TRCN0000009262	OPRD1	12	12	13	13	11	12	5	6	7	29
TRCN0000009326	OR1E1	12	13	10	13	12	13	1	23	1	1
TRCN0000009339	OR1F1	6	7	5	7	8	6	4	1	1	2
TRCN0000009370	OR2H2	21	27	21	21	21	21	26	43	17	27
TRCN0000009409	OR51B4	34	34	31	39	31	37	38	15	10	37
TRCN0000012993	ZNF177	10	11	9	10	12	12	3	12	8	14
TRCN0000013008	ZNF189	27	29	27	31	29	30	51	35	60	84
TRCN0000013193	FOXN1	24	26	34	27	28	27	12	20	6	9
TRCN0000013218	GCM1	26	25	21	20	21	28	44	80	18	38
TRCN0000013239	LMO4	26	26	46	34	35	34	5	1	2	2
TRCN0000013297	FUBP1	11	13	11	11	12	13	1	1	1	1
TRCN0000013307	FOXH1	9	9	12	8	9	10	7	8	15	15
TRCN0000013333	TAF1A	14	15	12	17	14	18	11	8	5	5
TRCN0000013338	BAZ1B	9	9	8	8	9	9	31	10	10	21
TRCN0000013423	ZRANB2	22	22	22	23	23	24	22	20	37	20
TRCN0000013469	CHD1L	24	20	18	21	21	22	22	26	60	17
TRCN0000013486	CREB5	25	29	33	33	33	29	9	23	59	114
TRCN0000013506	ZSCAN12	16	17	16	18	18	19	31	4	10	22
TRCN0000013586	ATOH1	14	14	14	13	14	14	35	24	25	30
TRCN0000013633	KLF5	22	26	25	25	24	24	43	74	75	28
TRCN0000013639	BTF3	13	13	18	14	14	15	4	10	1	6
TRCN0000013959	FOXF2	18	19	16	18	18	19	6	7	9	6
TRCN0000013985	TAAR6	13	14	15	16	15	14	1	2	1	5
TRCN0000014231	GPR161	20	21	23	22	20	25	13	8	13	9
TRCN0000014360	MCHR2	8	7	15	8	8	11	3	5	6	8
TRCN0000014389	SSTR3	12	12	15	13	12	11	14	19	16	5
TRCN0000014436	RXFP4	22	21	39	26	26	24	12	34	14	22
TRCN0000014447	GPR141	17	18	14	17	17	18	26	5	25	8
TRCN0000014457	DRD4	13	12	7	4	12	11	26	5	21	48
TRCN0000014479	GPR42	22	23	22	23	23	22	31	136	67	56
TRCN0000014542	HCLS1	14	10	16	14	10	17	6	7	21	9
TRCN0000014619	ZNF10	13	15	17	16	15	16	37	51	28	31
TRCN0000014720	ZBTB48	17	18	31	18	20	16	8	3	9	8
TRCN0000014771	ZNF19	40	43	42	38	36	41	4	29	18	14
TRCN0000014856	ZNF274	58	61	74	60	58	59	1	2	8	8
TRCN0000014971	SUB1	12	12	12	13	13	15	6	6	32	14
TRCN0000014992	RLF	33	33	15	25	27	30	4	9	9	13
TRCN0000015040	CLP1	37	32	42	44	35	41	4	7	8	4
TRCN0000015075	PBXIP1	12	11	23	15	13	13	3	14	25	4
TRCN0000015277	HBP1	23	23	33	29	27	30	21	6	28	15
TRCN0000015292	NPAS1	18	18	22	19	21	19	28	15	34	35
TRCN0000015313	GATAD2B	21	20	31	21	23	25	56	45	54	16
TRCN0000015371	NRL	11	10	11	6	11	10	5	5	8	14
TRCN0000015418	ZMYM1	11	11	7	11	10	13	2	10	4	12
TRCN0000015492	TCF20	38	40	43	45	45	43	47	34	50	40
TRCN0000015513	FOXB1	21	20	24	24	21	29	5	6	6	3
TRCN0000015576	ZNF672	23	24	28	29	29	23	45	102	61	42
TRCN0000015592	ZNF222	21	22	14	23	22	22	2	1	5	1
TRCN0000015696	FOXS1	24	23	12	26	24	24	64	77	62	46
TRCN0000015707	PHF12	12	14	10	11	11	12	8	4	3	11
TRCN0000015717	HOXB4	7	8	10	8	9	8	1	1	1	2
TRCN0000015725	SNF8	17	16	6	4	18	20	5	13	7	8
TRCN0000015769	SOHLH2	20	21	23	21	21	19	61	21	52	16
TRCN0000015822	ZNF134	13	12	11	10	12	13	31	62	15	11
TRCN0000015860	ZNF529	10	10	12	9	10	10	2	6	14	9
TRCN0000015928	SOX1	15	14	17	16	16	15	7	5	16	4
TRCN0000015949	TEAD3	9	8	10	8	7	9	3	2	2	8
TRCN0000015959	ZNF556	14	16	18	15	15	16	19	10	36	11
TRCN0000015995	PBRM1	17	18	16	19	18	18	11	26	31	12
TRCN0000016080	HES4	17	16	14	16	18	14	20	15	14	11
TRCN0000016102	TFEC	6	6	5	5	6	7	3	19	6	5
TRCN0000016106	ZNF606	4	5	9	5	6	6	1	1	1	1
TRCN0000016111	MEOX1	12	11	18	12	13	11	9	7	9	11
TRCN0000016117	C16orf80	19	17	22	19	18	20	5	7	15	5
TRCN0000016138	FOSL2	10	10	8	11	10	12	11	2	6	3
TRCN0000016158	LOC391766	18	20	16	20	20	19	2	5	8	6
TRCN0000016183	TAF5	15	16	13	14	15	16	94	1	37	8
TRCN0000016249	PROX1	13	10	9	13	10	15	11	9	3	7
TRCN0000016292	FOXK2	7	4	9	11	5	13	3	6	6	9
TRCN0000016321	ZNF491	14	12	10	9	10	14	4	10	2	2
TRCN0000016475	LOC401083	18	17	14	20	17	17	15	11	14	14
TRCN0000016484	ZNF431	4	5	5	4	5	5	1	1	1	1
TRCN0000016546	APBB2	29	31	29	35	32	31	27	17	43	19
TRCN0000016631	BARHL1	13	12	5	4	12	10	28	39	9	39
TRCN0000016747	ETV7	13	12	17	14	13	12	7	9	3	31
TRCN0000016783	RAX2	9	10	8	11	10	9	3	27	3	5
TRCN0000016835	DBX1	25	24	30	22	22	20	38	11	22	34
TRCN0000016972	POU5F2	10	12	6	11	11	11	12	1	1	1
TRCN0000016984	LASS4	21	22	25	26	26	24	19	11	4	23
TRCN0000016988	GMEB2	23	23	17	19	21	23	5	6	9	5
TRCN0000016999	NOBOX	17	16	26	19	19	16	11	2	9	7
TRCN0000017035	ZNF566	19	20	16	19	19	22	12	2	10	4
TRCN0000017072	ZNF329	24	24	29	24	24	25	102	46	109	87
TRCN0000017219	ZNF45	18	19	23	19	19	19	53	21	35	25
TRCN0000221638	CIRBP	14	15	11	16	16	17	2	1	1	8
TRCN0000221665	BRF1	22	19	27	15	22	23	54	25	7	7
TRCN0000221677	ZFX	21	22	20	23	22	23	16	4	5	7
TRCN0000017623	ZNF595	28	30	24	30	28	32	102	89	61	87
TRCN0000017650	POLR3K	20	20	30	26	26	21	34	11	3	2
TRCN0000017859	AKNA	23	25	16	24	23	25	7	13	11	6
TRCN0000017870	CNOT7	32	31	28	36	33	38	14	12	4	7
TRCN0000017922	HCFC2	21	22	21	25	25	23	40	34	67	203
TRCN0000017987	NANOGNB	15	16	16	17	17	16	1	1	1	1
TRCN0000018048	ZNF610	37	38	36	42	40	45	71	75	58	46
TRCN0000018085	RAX	7	6	8	4	7	10	5	19	19	11
TRCN0000018212	ZNF579	8	8	6	9	8	9	2	1	4	4
TRCN0000018218	ZNF443	18	17	16	17	16	20	2	4	4	2
TRCN0000018227	PKNOX2	10	9	12	8	10	9	4	1	2	3
TRCN0000018236	HOXC4	11	12	10	10	11	11	3	2	4	3
TRCN0000018872	RAD52	8	7	8	9	8	8	12	1	24	5
TRCN0000018899	PBX3	42	39	51	43	39	43	1	2	1	14
TRCN0000018919	IKBKB	9	11	12	9	9	11	11	17	7	13
TRCN0000018933	HMGB1	17	16	17	18	18	17	7	30	4	3
TRCN0000018526	PRDM14	10	11	13	12	11	13	13	6	6	6
TRCN0000019071	CIITA	12	11	13	14	12	15	21	17	15	16
TRCN0000019094	ARNTL	4	4	5	5	4	5	3	3	2	3
TRCN0000019138	GABPB1	21	22	14	18	20	25	4	11	13	2
TRCN0000019143	ZNF264	45	50	43	47	46	43	55	34	5	8
TRCN0000019180	CTCFL	10	11	7	11	11	10	8	1	7	5
TRCN0000019222	GATA1	12	13	11	12	11	11	36	6	16	10
TRCN0000019239	HNF4G	17	18	17	19	17	17	9	9	41	12
TRCN0000019269	SSRP1	7	4	10	8	4	10	2	13	1	2
TRCN0000019280	HDX	16	17	16	16	14	17	1	1	1	2
TRCN0000222167	MYST4	11	12	12	9	9	10	1	3	2	7
TRCN0000019407	MYOG	25	27	35	29	29	30	10	40	9	12
TRCN0000019637	PHF13	9	9	7	4	8	9	4	2	1	1
TRCN0000019679	DNMT3L	12	7	4	3	9	13	7	16	10	8
TRCN0000019684	ZNF281	8	9	7	9	8	10	2	1	1	4
TRCN0000019715	HOXD10	9	10	10	12	10	10	3	1	1	5
TRCN0000019752	LASS3	20	19	22	20	20	23	26	6	25	35
TRCN0000019762	HOXD11	21	21	13	19	17	20	10	14	21	3
TRCN0000019900	MLLT6	6	7	6	6	6	7	3	1	1	2
TRCN0000019953	SOX7	8	7	8	6	6	6	1	1	4	2
TRCN0000019974	NT5C	21	23	21	23	22	24	4	19	2	3
TRCN0000020010	SMAD3	11	11	10	12	13	12	3	10	7	2
TRCN0000020051	NAB1	12	13	14	12	12	13	2	15	4	4
TRCN0000020084	NDN	6	7	5	7	7	8	8	28	20	6
TRCN0000020146	SSX3	4	5	5	4	4	5	10	2	8	3
TRCN0000020188	ZNF679	12	12	15	15	12	13	7	5	1	1
TRCN0000020234	NOTCH3	17	15	18	16	17	19	18	38	25	6
TRCN0000020246	ZNF75A	22	22	11	4	22	28	2	10	1	1
TRCN0000020267	ZFPM2	19	19	21	22	21	23	27	44	2	23
TRCN0000020393	PBX1	12	8	10	13	10	13	13	16	7	15
TRCN0000020419	PEG3	17	18	12	21	19	19	1	4	1	6
TRCN0000020503	PITX3	8	8	11	7	8	8	2	2	11	2
TRCN0000020557	SPIB	5	6	10	6	7	6	1	1	1	1
TRCN0000220195	SREBF1	11	11	11	11	11	12	9	20	13	4
TRCN0000220213	UBTF	11	10	9	9	10	12	3	11	49	9
TRCN0000220219	MYCL2	14	16	15	16	15	16	114	7	27	32
TRCN0000220233	PRRX1	13	15	16	13	14	14	3	6	2	4
TRCN0000020755	OLIG1	6	4	21	10	6	8	14	17	29	21
TRCN0000020771	ZNF334	14	16	13	17	16	18	36	47	70	20
TRCN0000020818	HELT	9	9	7	9	9	9	1	2	1	1
TRCN0000020945	ZNF691	22	22	20	24	24	23	1	4	1	20
TRCN0000020984	IRF8	19	12	27	26	13	24	3	3	9	2
TRCN0000020986	IRF8	19	19	16	23	21	19	27	13	25	27
TRCN0000021033	FOXD4L4	10	12	12	11	11	10	29	9	15	5
TRCN0000021087	MXD4	21	21	22	22	22	21	99	35	53	29
TRCN0000021111	BDP1	28	30	32	32	30	29	34	27	67	74
TRCN0000021147	LOC391764	16	17	19	14	16	18	3	1	4	2
TRCN0000021153	KDM3A	10	10	13	9	8	9	4	1	1	3
TRCN0000021481	ADCK5	15	16	17	16	16	15	26	14	65	17
TRCN0000021569	PNCK	7	8	11	9	8	8	2	3	4	3
TRCN0000021578	GGT7	3	4	5	4	5	5	1	1	1	1
TRCN0000021610	ARHGEF25	12	14	9	12	13	13	1	7	2	6
TRCN0000021637	NR1I3	9	11	11	11	10	11	6	2	6	2
TRCN0000021700	NR2E3	19	18	17	21	18	21	5	3	3	2
TRCN0000021774	SIN3A	9	5	14	15	5	15	2	3	2	1
TRCN0000021926	PRB4	30	31	21	27	25	26	1	3	7	3
TRCN0000021963	SP140L	17	18	12	16	17	19	16	4	8	6
TRCN0000022025	MED27	8	8	11	7	7	8	2	1	1	14
TRCN0000022057	KDM4C	6	7	6	7	6	7	10	3	44	17
TRCN0000022177	NR1D1	6	6	4	4	6	7	1	1	1	4
TRCN0000022182	ESRRA	12	13	17	16	15	16	6	7	25	15
TRCN0000022243	ANKRD30A	19	19	13	23	20	20	3	10	11	2
TRCN0000022314	DNAJC12	17	16	18	18	17	20	32	35	58	33
TRCN0000022433	RNF122	10	12	21	12	12	11	25	41	16	60
TRCN0000022445	USP36	10	9	14	10	9	10	10	4	8	2
TRCN0000220375	IDH1	13	13	13	13	12	13	4	19	28	8
TRCN0000028051	SDHACL	13	11	15	15	12	13	10	25	24	25
TRCN0000028090	DHRSX	10	11	6	11	11	12	39	12	16	14
TRCN0000220834	HSD17B10	16	19	27	20	19	17	23	39	37	29
TRCN0000220888	PDHA1	17	14	13	17	17	18	16	8	8	13
TRCN0000221349	AASDH	9	9	8	9	10	11	7	13	10	5
TRCN0000027205	CHDH	24	26	20	27	26	30	33	39	141	56
TRCN0000027183	ALDH1A3	23	24	35	26	25	25	4	18	2	4
TRCN0000026427	NDUFA4	15	15	15	17	15	14	1	1	1	1
TRCN0000221882	MDH2	8	8	7	10	9	10	4	4	2	8
TRCN0000221893	MDH1	13	14	14	17	16	17	7	35	41	33
TRCN0000221918	ACADS	15	14	20	18	18	18	5	22	14	13
TRCN0000026576	DMGDH	21	22	22	20	21	29	8	16	15	11
TRCN0000029143	TUBA1C	12	10	12	11	10	11	3	1	12	3
TRCN0000029222	HYOU1	17	18	15	17	18	17	28	29	28	25
TRCN0000029271	LMNB1	14	13	15	16	14	14	25	153	16	71
TRCN0000029276	MFGE8	8	9	5	7	6	8	2	5	10	2
TRCN0000029327	ENO1	8	4	13	12	5	10	1	7	4	4
TRCN0000029400	ASAH1	14	13	17	14	14	14	74	8	3	6
TRCN0000029566	ATP6V1C1	24	24	25	24	24	27	10	9	18	3
TRCN0000029697	LBP	20	22	14	19	21	21	8	8	7	8
TRCN0000029707	BLNK	21	22	18	22	22	21	84	52	16	113
TRCN0000029728	GSN	44	47	40	47	47	51	80	73	108	138
TRCN0000029739	PDLIM5	20	21	14	19	18	19	30	38	19	31
TRCN0000029765	PITPNM2	8	8	8	9	10	9	3	2	5	3
TRCN0000029783	RAB7B	20	21	14	22	21	20	2	1	5	3
TRCN0000033273	PIK3R5	11	10	10	4	10	11	3	4	3	3
TRCN0000033325	PTCH2	22	22	28	24	23	22	2	1	2	1
TRCN0000033334	DVL1	13	14	11	13	13	14	36	8	16	15
TRCN0000033341	DVL2	13	12	16	15	14	13	22	4	6	16
TRCN0000033404	LRP6	21	24	31	25	23	25	36	37	31	30
TRCN0000033522	BCL7A	6	6	8	8	6	6	2	3	1	4
TRCN0000033562	BCL10	40	43	48	37	39	52	25	6	9	40
TRCN0000033654	RORC	26	30	20	26	25	27	4	5	2	14
TRCN0000033659	NR2F6	10	11	7	12	9	13	35	5	4	77
TRCN0000033679	MEFV	15	14	20	15	13	16	1	7	10	1
TRCN0000033733	RNF113A	27	27	20	26	30	27	8	1	13	13
TRCN0000033993	ZCCHC7	15	16	16	16	14	16	1	3	7	2
TRCN0000034067	BIRC8	28	29	37	33	32	32	27	32	46	18
TRCN0000034078	RFFL	21	20	30	23	23	22	5	17	10	10
TRCN0000034113	UBE2F	17	17	26	18	15	15	18	33	27	40
TRCN0000221004	RNF149	24	24	35	24	25	31	510	252	227	161
TRCN0000221028	IRF2BP2	12	13	13	15	13	15	14	6	6	39
TRCN0000221088	TRAF4	17	18	14	17	16	18	12	48	5	7
TRCN0000034256	TRIM13	24	26	29	26	26	30	3	4	4	4
TRCN0000034286	FBXO21	10	9	7	10	9	11	22	8	11	13
TRCN0000034871	B4GALT2	13	13	16	15	15	14	2	3	1	2
TRCN0000034901	CHST5	48	37	60	48	40	58	4	9	8	3
TRCN0000034944	NAT1	12	15	15	15	16	17	13	19	6	10
TRCN0000034954	CARM1L	84	78	85	73	84	101	17	26	20	9
TRCN0000034986	GAMTP1	13	11	14	16	12	15	6	4	2	8
TRCN0000035050	HPRT1	20	19	22	19	19	24	12	13	13	6
TRCN0000035122	RNMTL1	14	13	13	6	13	16	3	1	2	1
TRCN0000035147	GYLTL1B	9	8	10	9	8	10	2	4	1	1
TRCN0000035183	MOGAT1	14	14	20	15	16	18	11	8	12	18
TRCN0000035262	GALNT12	16	18	18	18	18	22	14	15	20	21
TRCN0000035300	ST8SIA5	18	20	14	20	17	20	7	2	5	3
TRCN0000035520	GALNT8	25	27	24	29	28	29	15	26	38	20
TRCN0000035574	AANAT	11	10	18	11	11	10	7	4	7	4
TRCN0000035580	ACAT1	21	22	18	24	25	26	3	1	4	3
TRCN0000035613	B3GAT3	6	6	10	8	7	7	1	1	1	1
TRCN0000035825	DNTT	19	17	20	22	18	21	8	5	11	3
TRCN0000035837	HS3ST3A1	12	13	17	6	11	12	7	2	14	35
TRCN0000035849	LCLAT1	8	8	4	9	9	10	9	1	4	5
TRCN0000035879	SULT1E1	9	9	11	9	8	7	9	6	3	23
TRCN0000035928	FUT5	6	7	7	8	7	7	9	1	10	17
TRCN0000035970	CEPT1	16	16	21	18	16	17	33	15	11	26
TRCN0000035976	ST6GALNAC4	7	7	5	7	7	9	2	5	4	1
TRCN0000036027	ASMT	12	12	7	14	13	12	35	5	14	31
TRCN0000036055	EHMT1	8	8	5	7	8	8	5	3	6	13
TRCN0000036067	OXCT2	12	9	20	15	11	12	13	10	13	19
TRCN0000036092	NDST4	16	17	15	18	16	18	23	7	21	9
TRCN0000036097	ACAA2	24	26	35	27	26	28	28	25	10	10
TRCN0000036108	TGM1	7	7	4	7	6	6	11	4	17	12
TRCN0000036153	DGAT1	7	7	6	8	7	7	4	3	6	2
TRCN0000036177	UGT2B11	12	10	6	8	8	13	26	19	9	15
TRCN0000036273	UGT2B15	15	15	21	16	13	18	36	53	37	11
TRCN0000036491	RGS19	7	7	9	9	9	10	11	11	24	18
TRCN0000036529	DHRS3	17	17	19	17	18	18	8	13	53	9
TRCN0000036583	C2orf81	13	12	16	10	14	16	16	22	16	42
TRCN0000036736	BDH2	8	8	6	9	9	9	2	9	10	11
TRCN0000036797	GNG3	21	23	25	28	26	25	73	33	57	45
TRCN0000036812	GNG5	7	5	12	9	6	8	5	4	15	6
TRCN0000036987	RAPGEF2	27	30	34	27	26	29	32	52	30	64
TRCN0000037025	UBR7	51	51	60	55	55	53	66	56	84	99
TRCN0000037477	FLJ40852	22	21	15	25	22	28	24	16	14	21
TRCN0000037531	PKDCC	19	20	8	4	23	23	5	7	7	4
TRCN0000037615	CAMK2N1	18	18	25	20	19	19	13	25	37	10
TRCN0000037681	HK3	13	15	8	13	13	14	1	1	1	3
TRCN0000037691	PANK4	14	15	11	15	15	13	7	4	5	5
TRCN0000037710	ITPKB	17	16	16	19	17	17	33	23	61	42
TRCN0000037716	ITPKC	22	21	21	24	25	30	54	34	44	25
TRCN0000037762	UCK1	10	10	9	8	8	8	5	4	4	10
TRCN0000037809	IP6K3	18	18	21	20	20	19	38	17	76	92
TRCN0000037925	AKAP12	8	9	7	9	9	9	2	1	1	1
TRCN0000037991	MAPK8IP2	20	23	23	28	27	25	35	27	50	41
TRCN0000038100	ST7L	33	38	28	35	33	40	56	71	83	92
TRCN0000038116	LOC245718	4	4	5	5	5	5	1	1	2	2
TRCN0000038122	TUSC5	11	11	16	11	10	12	2	3	3	3
TRCN0000038178	SLC4A5	21	21	26	24	24	27	35	5	20	20
TRCN0000038217	ATP5E	22	21	27	26	22	25	43	63	22	92
TRCN0000038226	SLC22A17	18	18	18	25	23	22	9	6	8	15
TRCN0000038259	ATP5J2	13	13	11	14	12	16	6	12	5	7
TRCN0000038431	ATP6V0A1	27	26	26	29	29	30	32	48	31	36
TRCN0000038472	ATP2A1	26	17	33	25	19	36	19	7	13	23
TRCN0000038564	SLC16A14	27	27	20	24	22	28	87	70	103	47
TRCN0000038635	TCIRG1	12	11	11	12	11	10	47	6	23	6
TRCN0000038724	SUZ12	17	15	7	14	14	15	21	28	40	16
TRCN0000038877	CORT	13	14	17	14	13	15	49	7	25	8
TRCN0000038915	FYCO1	15	14	23	16	14	16	4	4	9	17
TRCN0000038975	CYB5R3	6	5	8	7	6	7	5	9	5	3
TRCN0000038981	PYCR1	13	13	22	14	16	11	30	10	8	12
TRCN0000039561	PPP2R2C	11	12	7	11	10	11	6	14	10	12
TRCN0000039730	DOCK4	7	4	8	12	5	10	2	3	8	7
TRCN0000221534	TGFBR1	14	12	15	17	14	19	5	12	23	1
TRCN0000221562	POT1	7	8	9	6	6	7	8	7	13	1
TRCN0000039853	CHEK1	20	22	22	23	20	25	40	13	8	14
TRCN0000039936	PPP2R5B	9	9	5	7	8	11	2	1	3	2
TRCN0000039988	TINF2	25	27	22	28	26	24	13	71	19	10
TRCN0000040152	KRAS	6	6	6	7	7	6	1	1	1	1
TRCN0000040174	SGK1	4	3	4	4	5	3	2	3	2	2
TRCN0000040191	DOCK2	8	7	4	7	8	10	3	7	3	4
TRCN0000040209	SHC1	19	20	19	17	18	20	3	2	3	6
TRCN0000040272	FADD	13	15	17	18	16	15	33	26	26	38
TRCN0000043124	SLC7A11	28	30	29	29	30	32	38	74	34	54
